sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
41	2026-09-23T15:16:24.810624886Z	41001	26	151	3	2	1	4	0.000	67	0.000	12930	21.998	11382	20.998	568	0.000	0	0.000	1	0.000	576064782	24865.959	16872724	31248.435	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	599	1.000	0	0.000	0.000	1	0.000	4	0	0.000
42	2026-09-23T15:16:25.81039593Z	42001	26	151	3	2	1	4	0.000	67	0.000	12952	22.005	11403	21.005	568	0.000	0	0.000	1	0.000	576089650	24873.695	16903975	31258.157	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	600	1.000	0	0.000	0.000	1	0.000	4	0	0.000
43	2026-09-23T15:16:26.810524467Z	43001	26	151	3	2	1	4	0.000	67	0.000	12974	21.997	11424	20.997	568	0.000	0	0.000	1	0.000	576114518	24864.804	16935226	31246.984	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	601	1.000	0	0.000	0.000	1	0.000	4	0	0.000
44	2026-09-23T15:16:27.810616085Z	44001	26	151	3	2	1	4	0.000	67	0.000	12996	21.998	11445	20.998	568	0.000	0	0.000	1	0.000	576139386	24865.722	16966477	31248.137	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	602	1.000	0	0.000	0.000	1	0.000	4	0	0.000
45	2026-09-23T15:16:28.81063415Z	45001	26	151	3	2	1	4	0.000	67	0.000	13018	22.000	11466	21.000	568	0.000	0	0.000	1	0.000	576164254	24867.551	16997728	31250.436	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	603	1.000	0	0.000	0.000	1	0.000	4	0	0.000
46	2026-09-23T15:16:29.810864912Z	46001	26	151	3	2	1	4	0.000	67	0.000	13040	21.995	11487	20.995	568	0.000	0	0.000	1	0.000	576189122	24862.263	17028979	31243.790	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	604	1.000	0	0.000	0.000	1	0.000	4	0	0.000
47	2026-09-23T15:16:30.810476221Z	47001	26	151	3	2	1	4	0.000	67	0.000	13062	22.009	11508	21.008	568	0.000	0	0.000	1	0.000	576213990	24877.670	17060230	31263.152	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	605	1.000	0	0.000	0.000	1	0.000	4	0	0.000
48	2026-09-23T15:16:31.810393014Z	48001	26	151	3	2	1	4	0.000	67	0.000	13084	22.002	11529	21.002	568	0.000	0	0.000	1	0.000	576238858	24870.069	17091481	31253.600	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	606	1.000	0	0.000	0.000	1	0.000	4	0	0.000
49	2026-09-23T15:16:32.810373166Z	49001	26	151	3	2	1	4	0.000	67	0.000	13106	22.000	11550	21.000	568	0.000	0	0.000	1	0.000	576263726	24868.494	17122732	31251.620	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	607	1.000	0	0.000	0.000	1	0.000	4	0	0.000
50	2026-09-23T15:16:33.81051318Z	50001	26	151	3	2	1	4	0.000	67	0.000	13130	23.997	11572	21.997	568	0.000	0	0.000	1	0.000	576289242	25512.428	17154974	32237.487	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	609	2.000	0	0.000	0.000	1	0.000	4	0	0.000
