schema_name	digest	count	sum_time_sec	max_time_sec	sum_lock_sec	avg_lock_sec	rows_examined	rows_sent	rows_affected	no_index_used	no_good_index_used	tmp_disk_tables	tmp_tables	sort_merge_passes	errors	digest_text
isucon	3284b6b16120f3d7332e027bfe10444dc174848c8efe384fceec818f73e035e9	17	0.152965	0.041167	0.000021	0.000001235	0	0	238	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	b3b1a9f5a2c7405e4253cf7c23bceb6f40e00088d83d6927c62a8a69562ede36	86	0.152549	0.019634	0.000169	0.000001965	0	0	430	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	f8c427fe2a74e445602755ee819d5b830506f44a09d73cab228e21b553b76c1a	12	0.147549	0.079491	0.000014	0.000001167	0	0	276	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	c1b3969c17069b5d686ac1d64495d0eeb39f1464b4100153842215194395c23a	23	0.143066	0.046317	0.000022	0.000000957	0	0	184	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	63f096851949012403fd9c48b795f618ceb85b4fbf654cd6e04b9611ea2674c4	16	0.138679	0.066704	0.000015	0.000000938	0	0	160	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	2dafe3d6fc61a16bf27f139d04f83086a2763f66e53885d85d304a18a885f7a7	6	0.137036	0.037804	0.000008	0.000001333	0	0	180	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	905787bb580971e5fc7338688280379fb0494be7b6be8a96a97cba51ea890cfd	14	0.136186	0.029696	0.000017	0.000001214	0	0	280	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	321116d0c4b5548629d032d8947d22627c4ac6341de180fb353f2946ab9a9c89	15	0.129859	0.02689	0.00002	0.000001333	0	0	240	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	8f394bd5e1658f7de2c4a334c1cf914e22f134e3915f9679153aa83a464f72af	13	0.127695	0.071263	0.000017	0.000001308	0	0	286	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	40b89c9a7ccfa30f1894d30a12d98543fe7fe11067706a01f897b90ce51d177d	17	0.12725	0.048984	0.00002	0.000001176	0	0	289	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
