sample	timestamp	elapsed_ms	device	read_iops	write_iops	discard_iops	flush_iops	read_merged_per_sec	write_merged_per_sec	discard_merged_per_sec	read_bytes_per_sec	write_bytes_per_sec	discard_bytes_per_sec	read_await_ms	write_await_ms	discard_await_ms	flush_await_ms	avg_read_request_bytes	avg_write_request_bytes	avg_discard_request_bytes	io_in_progress	io_util_pct	avg_queue_size
35	2026-09-25T04:45:49.812433589Z	35008	loop0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	loop8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
35	2026-09-25T04:45:49.812433589Z	35008	nvme0n1	3.000170	336.019028	0.000000	0.000000	0.000000	73.004134	0.000000	40962.319614	7180694.628375	0.000000	0.333333	1.017857	0.000000	0.000000	13653.333333	21369.904762	0.000000	0	15.600883	0.343019
36	2026-09-25T04:45:50.812486847Z	36008	loop0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
36	2026-09-25T04:45:50.812486847Z	36008	loop8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000
